самолет	166.10	7.38
объем	165.80	7.37
далеко	165.50	7.37
род	165.50	7.37
солнце	165.20	7.37
вера	165.10	7.37
берег	164.70	7.36
спектакль	164.70	7.36
фирма	164.40	7.36
Николай	164.20	7.36
способ	164.20	7.36
завод	164.00	7.36
цвет	163.60	7.35
трудно	163.30	7.35
журнал	162.00	7.34
руководитель	162.00	7.34
специалист	161.90	7.34
возможно	161.80	7.34
детский	161.80	7.34
точно	161.70	7.34
объяснить	161.40	7.33
оценка	161.40	7.33
единый	161.30	7.33
снять	161.30	7.33
определенный	161.20	7.33
низкий	160.70	7.33
нравиться	160.60	7.33
услышать	160.40	7.33
регион	160.30	7.32
связать	160.20	7.32
песня	160.10	7.32
процент	160.10	7.32
родитель	160.00	7.32
позволить	159.60	7.32
чужой	159.60	7.32
море	159.50	7.32
странный	159.50	7.32
требование	159.40	7.32
чистый	159.00	7.31
весьма	158.80	7.31
какой-нибудь	158.80	7.31
основание	158.80	7.31
половина	158.80	7.31
поехать	158.40	7.31
положить	158.10	7.30
входить	157.90	7.30
легко	157.90	7.30
поздний	157.70	7.30
роман	157.70	7.30
круг	157.40	7.30
анализ	157.00	7.29
стихи	157.00	7.29
автомобиль	156.90	7.29
специальный	156.80	7.29
экономика	156.30	7.29
литература	156.00	7.29
бумага	155.80	7.28
вместо	155.70	7.28
впервые	155.50	7.28
видно	155.20	7.28
научный	155.10	7.28
оказываться	155.10	7.28
поэт	155.10	7.28
показывать	155.00	7.28
степень	155.00	7.28
вызвать	154.90	7.28
касаться	154.70	7.27
господин	154.60	7.27
надежда	154.50	7.27
сложный	154.50	7.27
Борис	154.40	7.27
вокруг	154.40	7.27
предмет	154.40	7.27
отметить	154.30	7.27
заявить	154.20	7.27
вариант	154.10	7.27
министр	154.10	7.27
откуда	154.00	7.27
реальный	153.80	7.26
граница	153.70	7.26
действовать	153.50	7.26
дух	153.50	7.26
модель	153.50	7.26
операция	153.30	7.26
пара	152.70	7.25
сон	152.70	7.25
немного	151.90	7.25
название	151.80	7.25
ум	151.50	7.24
повод	151.20	7.24
старик	151.00	7.24
способный	150.50	7.23
мало	150.40	7.23
миллион	150.40	7.23
малый	150.20	7.23
старший	149.50	7.22
успех	149.50	7.22
практически	149.40	7.22
получиться	149.30	7.22
личный	149.20	7.22
счастье	149.20	7.22
необходимо	149.00	7.22
свободный	149.00	7.22
ребята	148.90	7.22
обычный	148.70	7.22
кабинет	148.50	7.21
прекрасный	148.40	7.21
СССР	148.30	7.21
высший	147.80	7.21
Михаил	147.40	7.20
кричать	147.30	7.20
прежде	147.30	7.20
магазин	147.20	7.20
пространство	147.20	7.20
выход	147.00	7.20
остановиться	147.00	7.20
удар	146.80	7.20
база	146.70	7.20
знание	146.40	7.19
текст	146.20	7.19
сюда	146.10	7.19
темный	146.00	7.19
защита	145.90	7.19
предлагать	145.90	7.19
руководство	145.70	7.19
вовсе	145.30	7.18
площадь	145.20	7.18
сознание	145.20	7.18
гражданский	144.70	7.18
убить	144.70	7.18
возраст	144.50	7.17
молчать	144.50	7.17
согласиться	144.20	7.17
участник	144.20	7.17
участок	144.20	7.17
рано	144.10	7.17
пункт	144.00	7.17
несмотря	143.90	7.17
сильно	143.90	7.17
столь	143.90	7.17
сообщить	143.80	7.17
линия	143.70	7.17
бежать	143.60	7.17
желание	143.60	7.17
папа	143.40	7.16
кажется	143.20	7.16
петь	143.20	7.16
доктор	143.10	7.16
губа	143.00	7.16
известно	143.00	7.16
дома	142.50	7.15
вызывать	142.40	7.15
дочь	142.40	7.15
показаться	142.40	7.15
среда	142.40	7.15
председатель	142.30	7.15
представление	142.20	7.15
солдат	142.20	7.15
художник	142.20	7.15
принести	141.90	7.15
волос	141.80	7.15
оружие	141.80	7.15
выглядеть	141.70	7.15
соответствие	141.00	7.14
никак	140.50	7.13
ветер	140.30	7.13
внешний	140.30	7.13
